"productid","buyerid"
250,36
126,37
130,37
129,40
365,33
111,32
138,32
230,32
38,42
39,42
337,42
340,42
343,42
345,42
164,43
217,43
676,43
54,47
145,47
358,47
616,47
109,49
250,49
105,52
106,52
125,52
127,52
372,52
129,57
248,57
145,56
125,60
301,60
126,65
131,65
217,65
106,68
109,68
617,68
347,69
349,69
356,69
357,69
363,69
124,73
350,73
355,73
346,74
358,74
502,74
165,75
626,75
672,75
126,65
131,65
217,65
42,62
132,62
134,62
144,76
352,76
357,76
633,76
51,77
152,77
167,77
174,77
183,77
191,77
208,77
210,77
669,78
672,78
635,78
363,80
366,80
501,80
49,86
50,86
114,86
119,86
172,86
173,86
174,86
177,86
178,86
179,86
180,86
181,86
182,86
185,86
208,86
215,86
250,86
291,88
343,88
38,74
39,74
295,74
296,74
637,74
50,89
59,89
152,89
154,89
157,89
158,89
159,89
160,89
166,89
167,89
172,89
173,89
174,89
175,89
176,89
177,89
178,89
179,89
180,89
181,89
182,89
183,89
184,89
185,89
355,89
359,89
54,90
251,90
372,90
40,93
42,93
52,95
119,95
125,95
174,95
176,95
181,95
184,95
187,95
198,95
207,95
210,95
211,95
214,95
217,95
220,95
120,97
47,32
137,32
140,32
145,32
637,32
372,98
111,102
132,102
51,104
111,104
114,104
123,104
104,99
120,99
374,99
52,105
66,105
119,105
214,105
215,105
338,105
344,105
508,105
114,106
119,106
124,106
126,106
40,44
173,107
177,107
178,107
179,107
181,107
182,107
183,107
184,107
185,107
187,107
190,107
191,107
192,107
193,107
195,107
196,107
198,107
206,107
207,107
208,107
209,107
217,107
220,107
618,107
370,109
167,107
46,111
47,111
155,112
164,112
165,112
174,112
175,112
177,112
183,112
195,112
209,112
199,113
200,113
211,113
215,113
628,113
49,114
54,114
116,114
120,114
172,114
178,114
52,117
54,117
119,117
125,117
126,117
127,117
130,117
131,117
49,118
125,118
126,118
130,118
131,118
139,118
140,118
143,118
251,118
359,118
371,118
157,119
158,119
160,119
172,119
173,119
174,119
177,119
178,119
179,119
180,119
181,119
182,119
183,119
184,119
185,119
187,119
188,119
189,119
190,119
191,119
192,119
194,119
195,119
196,119
198,119
204,119
206,119
207,119
208,119
209,119
210,119
217,119
220,119
615,119
618,119
76,42
290,42
347,42
348,42
352,42
355,42
356,42
358,42
597,42
630,42
637,42
164,121
165,121
167,121
168,121
169,121
170,121
180,121
181,121
154,77
155,77
161,77
162,77
163,77
167,77
169,77
174,77
176,77
177,77
179,77
181,77
182,77
187,77
209,77
214,77
217,77
164,122
168,122
211,122
215,122
220,122
38,123
39,123
54,123
645,123
49,126
53,126
105,126
124,126
353,126
356,126
49,128
54,128
119,128
122,128
259,128
359,128
119,77
200,77
199,77
190,77
196,77
54,106
114,106
119,106
124,106
130,106
109,132
129,132
249,131
164,135
166,135
168,135
170,135
175,135
177,135
105,136
106,136
108,136
109,136
108,36
250,36
111,137
113,137
135,137
672,139
158,140
159,140
217,140
220,140
46,141
47,141
152,121
164,121
167,121
177,121
181,121
183,121
110,143
145,143
358,143
105,144
106,144
108,144
112,144
40,138
105,147
108,147
110,147
134,147
136,147
165,148
168,148
177,148
122,149
338,42
422,42
593,42
607,42
637,42
108,150
616,150
133,151
49,152
54,152
123,152
203,152
210,152
214,152
217,152
220,152
375,152
628,152
126,153
345,153
159,154
178,154
181,154
214,154
136,75
672,75
668,75
669,75
105,155
113,155
133,155
159,157
160,157
177,157
178,157
179,157
180,157
181,157
183,157
184,157
185,157
187,157
190,157
192,157
194,157
195,157
198,157
207,157
209,157
618,157
38,158
635,157
635,158
39,152
110,152
125,152
129,152
132,152
133,152
341,152
343,152
373,152
378,152
625,152
214,160
215,160
217,160
220,160
48,32
296,32
637,32
123,86
153,86
169,86
172,86
178,86
179,86
164,161
165,161
168,161
170,161
172,161
40,32
247,32
676,32
677,32
119,162
351,162
361,162
48,164
106,164
110,164
677,164
38,103
125,103
130,103
353,103
616,103
42,165
135,165
48,166
105,166
108,166
51,105
52,105
117,105
125,105
142,105
259,105
637,105
38,163
39,163
129,163
130,163
349,163
352,163
51,167
52,167
169,167
170,167
174,167
179,167
48,169
231,169
234,169
458,169
460,169
167,171
170,171
172,171
173,171
174,171
176,171
178,171
179,171
180,171
181,171
182,171
183,171
185,171
227,172
230,172
670,172
168,167
172,167
173,167
175,167
176,167
177,167
178,167
179,167
180,167
182,167
183,167
184,167
185,167
361,167
194,174
196,174
220,174
619,174
177,177
187,177
192,177
194,177
207,177
618,177
417,123
637,123
109,44
110,44
637,44
129,103
290,103
294,103
358,103
125,181
126,181
128,181
129,181
130,181
143,181
358,181
679,181
164,122
165,122
166,122
168,122
52,186
155,186
158,186
172,186
174,186
177,186
181,186
183,186
184,186
43,187
256,187
278,187
367,187
407,187
456,187
154,77
157,77
158,77
159,77
160,77
161,77
162,77
164,77
165,77
166,77
181,77
183,77
184,77
207,77
208,77
51,189
51,191
114,191
122,191
351,191
375,191
290,192
502,192
592,192
363,193
363,194
366,194
173,196
177,196
183,196
186,196
187,196
188,196
189,196
190,196
191,196
192,196
195,196
200,196
201,196
204,196
619,196
51,197
259,197
364,200
363,206
164,207
166,207
174,207
177,207
180,207
363,210
50,214
114,214
124,214
159,214
160,214
178,214
179,214
181,214
188,214
192,214
211,214
217,214
50,167
54,167
153,167
157,167
158,167
160,167
164,167
165,167
172,167
173,167
176,167
178,167
180,167
181,167
183,167
184,167
361,167
637,167
370,216
378,216
379,216
401,216
161,121
174,121
180,121
181,121
187,121
190,121
192,121
137,74
341,74
358,74
637,74
120,217
121,217
40,215
42,215
125,215
126,215
127,215
130,215
353,215
453,215
635,215
724,32
728,32
637,32
261,218
327,218
124,221
183,221
198,221
207,221
217,221
615,221
619,221
773,221
41,163
47,163
128,163
140,163
142,163
352,163
355,163
637,163
759,32
157,222
165,222
166,222
175,222
179,222
198,222
109,223
138,223
140,223
358,223
625,223
364,224
780,220
174,228
178,228
176,228
183,228
161,228
162,228
207,228
198,228
214,228
635,228
144,70
625,70
716,70
48,231
133,231
728,231
119,232
126,232
131,232
364,234
290,42
637,42
344,235
120,236
363,237
165,239
168,239
172,239
174,239
635,239
364,243
152,244
155,244
169,244
173,244
174,244
39,245
110,245
124,245
127,245
174,245
191,245
192,245
194,245
196,245
214,245
215,245
220,245
344,246
346,246
112,251
122,247
143,247
243,247
719,247
720,247
133,251
54,249
130,249
338,249
229,251
226,250
234,250
258,250
364,251
378,251
625,251
676,251
251,254
166,255
168,255
174,255
175,255
176,255
179,255
190,89
193,89
194,89
195,89
204,89
210,89
214,89
215,89
216,89
217,89
619,89
363,256
363,261
157,265
158,265
159,265
160,265
453,265
406,267
516,267
720,267
126,152
127,152
128,152
130,152
131,152
152,152
161,152
163,152
176,152
183,152
186,152
194,152
211,152
217,152
220,152
364,152
366,152
773,152
637,152
125,269
126,269
131,269
121,270
140,270
361,270
364,270
366,270
59,259
169,259
173,259
178,259
179,259
185,259
297,268
364,268
114,263
152,263
153,263
154,263
155,263
161,263
162,263
174,263
175,263
176,263
183,263
184,263
198,263
207,263
209,263
727,263
166,257
172,257
173,257
175,257
178,257
183,257
184,257
291,85
297,85
372,85
379,85
48,272
111,272
157,119
158,119
159,119
160,119
161,119
163,119
162,119
172,119
174,119
175,119
176,119
178,119
184,119
193,119
206,119
207,119
208,119
209,119
210,119
220,119
364,273
114,274
120,274
220,274
722,274
120,275
364,275
635,275
152,277
153,277
154,277
169,277
172,277
174,277
196,277
204,277
50,278
51,278
52,279
111,279
112,279
117,279
118,279
126,279
127,279
131,279
145,279
370,102
363,280
368,281
163,283
166,283
172,283
173,283
176,283
184,283
185,283
198,283
206,283
163,284
182,284
187,284
188,284
195,284
198,284
202,284
208,284
216,284
618,284
110,285
113,285
363,285
366,237
152,171
153,171
154,171
155,171
161,171
169,171
176,171
179,171
184,171
185,171
208,171
51,288
157,288
160,288
211,288
772,290
774,290
128,294
130,294
353,294
358,294
161,253
185,253
189,253
198,253
204,253
206,253
417,295
458,295
51,105
52,105
53,105
106,105
108,105
117,105
142,105
669,105
637,105
166,298
169,298
172,298
173,298
179,298
184,298
185,298
364,300
187,299
190,299
194,299
196,299
204,299
618,299
619,299
111,301
119,301
172,301
173,301
182,301
187,301
189,301
191,301
193,301
194,301
200,301
353,301
363,301
142,302
304,302
347,302
350,302
358,302
626,302
363,303
166,298
169,298
176,298
173,298
179,298
184,298
185,298
111,301
119,301
173,301
182,301
187,301
189,301
191,301
193,301
194,301
200,301
353,301
364,301
363,304
364,304
672,304
39,192
460,192
602,192
637,192
364,306
368,306
153,121
154,121
155,121
162,121
124,308
126,308
127,308
159,308
196,308
205,308
619,308
770,308
144,309
263,309
363,309
366,309
719,85
635,85
774,312
363,313
635,119
363,314
365,314
364,316
364,318
120,319
114,320
119,320
124,320
125,320
129,320
131,320
301,320
302,320
125,321
129,321
626,321
153,186
169,186
179,186
187,186
190,186
192,186
193,186
194,186
195,186
207,186
209,186
187,127
189,127
190,127
191,127
193,127
195,127
196,127
204,127
615,127
364,324
365,324
184,326
187,326
195,326
198,326
214,326
50,327
51,327
52,327
65,327
114,327
115,327
119,327
122,327
123,327
125,327
126,327
128,327
130,327
131,327
359,327
771,327
773,327
775,327
780,327
786,327
74,162
76,162
351,162
39,331
40,331
54,331
110,331
49,167
50,167
54,167
176,167
179,167
182,167
184,167
185,167
187,167
188,167
189,167
191,167
192,167
193,167
194,167
198,167
261,167
615,167
618,167
619,167
637,167
54,121
114,121
158,121
160,121
184,121
194,121
195,121
198,121
207,121
243,121
619,121
114,333
119,333
126,333
129,333
166,333
169,333
175,333
176,333
182,333
184,333
185,333
772,333
774,333
779,333
786,333
182,167
185,167
49,167
50,167
54,167
176,167
187,167
188,167
189,167
191,167
192,167
193,167
194,167
198,167
261,167
615,167
618,167
619,167
635,167
49,25
52,25
125,25
131,25
297,25
339,25
370,25
371,25
616,25
719,25
54,337
62,337
351,337
364,337
617,337
282,339
290,339
463,339
161,171
162,171
163,171
190,171
206,171
207,171
208,171
209,171
210,171
637,171
364,340
263,342
363,346
364,347
722,32
723,32
637,32
157,119
158,119
159,119
160,119
161,119
162,119
163,119
184,119
185,119
206,119
207,119
208,119
209,119
210,119
637,119
364,350
523,350
718,350
363,351
366,351
368,351
111,352
136,352
114,333
119,333
126,333
129,333
166,333
169,333
175,333
176,333
182,333
772,333
774,333
779,333
786,333
635,333
157,119
158,119
159,119
160,119
161,119
162,119
163,119
185,119
206,119
207,119
208,119
209,119
210,119
635,119
120,357
263,357
341,357
377,357
406,357
125,358
126,358
227,358
501,358
504,358
154,359
175,359
176,359
192,359
153,116
154,116
163,116
185,116
187,116
188,116
191,116
192,116
209,116
618,116
175,361
184,361
185,361
364,362
120,364
364,364
365,364
45,34
339,34
343,34
364,34
300,87
372,87
635,87
47,369
353,369
786,370
119,371
123,371
125,371
129,371
166,371
175,371
191,371
200,371
214,371
262,371
618,371
783,371
785,371
47,372
48,372
364,372
365,372
188,284
192,284
194,284
205,284
618,284
628,284
301,373
302,373
338,373
364,373
54,374
57,374
124,374
635,116
784,375
153,253
155,253
162,253
182,253
190,253
192,253
208,253
210,253
618,253
152,376
191,376
196,376
198,376
207,376
669,376
45,34
339,34
343,34
364,34
45,34
339,34
343,34
364,34
635,34
635,34
635,253
635,371
153,377
158,377
166,377
175,377
182,377
188,377
189,377
190,377
191,377
192,377
194,377
196,377
198,377
204,377
208,377
615,377
618,377
619,377
252,2
635,2
144,378
245,378
358,378
453,378
492,378
626,378
689,378
157,89
158,89
159,89
160,89
166,89
175,89
176,89
190,89
201,89
214,89
216,89
637,89
365,367
364,367
153,379
154,379
155,379
161,379
182,379
189,379
191,379
194,379
198,379
199,379
200,379
202,379
204,379
205,379
206,379
209,379
210,379
211,379
225,379
618,379
628,379
120,382
126,382
263,382
724,382
51,163
54,163
139,163
145,163
245,163
300,163
336,163
350,163
352,163
611,163
637,163
119,384
126,384
131,384
119,384
126,384
131,384
199,386
201,386
363,386
119,387
125,387
126,387
127,387
131,387
363,387
114,389
417,389
354,390
358,390
363,390
366,390
157,77
158,77
159,77
160,77
163,77
169,77
192,77
194,77
206,77
207,77
208,77
209,77
47,391
48,391
113,391
344,391
372,391
402,391
624,391
153,253
155,253
163,253
182,253
190,253
192,253
208,253
210,253
618,253
635,253
48,280
47,280
504,280
635,280
363,381
738,191
744,191
767,191
769,191
364,383
50,279
114,279
125,279
126,279
142,279
341,279
344,279
739,279
754,279
637,279
50,279
114,279
125,279
126,279
142,279
341,279
344,279
739,279
754,279
747,279
635,279
301,400
302,400
364,400
364,401
45,403
54,403
113,403
309,403
363,403
367,403
251,404
335,404
343,404
344,404
358,404
625,404
709,406
760,406
44,409
359,409
769,409
364,347
721,347
637,347
363,419
364,419
727,419
364,420
368,420
364,421
365,421
108,415
137,415
363,319
366,319
637,319
130,121
158,121
160,121
621,121
730,121
737,121
159,167
163,167
182,167
206,167
207,167
208,167
209,167
243,167
262,167
733,167
736,167
737,167
739,167
772,167
786,167
152,253
154,253
169,253
173,253
189,253
191,253
193,253
204,253
206,253
615,253
621,253
129,438
236,438
508,438
729,438
637,438
364,437
47,439
132,439
134,439
189,127
191,127
193,127
194,127
196,127
204,127
615,127
618,127
373,397
616,397
718,397
364,455
364,458
54,456
125,456
129,456
130,456
347,456
633,456
51,463
69,463
119,463
124,463
125,463
173,463
200,463
209,463
618,463
774,463
169,464
173,464
182,464
786,464
341,465
345,465
345,465
341,465
635,465
161,107
162,107
167,107
173,107
174,107
178,107
179,107
180,107
181,107
198,107
200,107
207,107
209,107
618,107
637,107
363,423
121,191
351,191
355,191
356,191
357,191
361,191
766,191
161,171
163,171
170,171
173,171
174,171
178,171
179,171
206,171
208,171
217,171
220,171
637,171
125,232
730,232
737,232
741,232
637,232
364,466
366,466
43,285
50,285
110,285
111,285
112,285
113,285
134,285
359,285
767,285
112,104
136,104
137,104
767,104
769,104
637,104
120,251
145,251
337,251
353,251
371,251
437,251
637,251
159,186
172,186
179,186
180,186
181,186
189,186
191,186
621,186
637,186
124,469
190,469
210,469
216,469
621,469
152,470
153,470
154,470
155,470
164,470
165,470
167,470
168,470
169,470
170,470
172,470
174,470
175,470
177,470
178,470
179,470
180,470
181,470
182,470
183,470
184,470
185,470
621,470
65,160
257,160
359,409
769,409
49,473
53,473
118,473
739,473
54,167
161,167
162,167
163,167
164,167
165,167
167,167
173,167
179,167
180,167
181,167
217,167
375,167
730,167
740,167
743,167
744,167
758,167
637,167
347,42
358,42
767,42
768,42
637,42
164,374
168,374
170,374
184,374
732,374
758,374
52,474
372,474
373,474
165,257
168,257
170,257
177,257
180,257
637,257
46,32
343,32
626,32
768,32
637,32
114,476
375,476
49,473
51,473
115,473
141,473
142,473
770,473
772,473
364,477
292,478
728,478
51,440
747,440
773,440
786,440
49,479
51,479
343,479
768,479
114,253
124,253
162,253
174,253
177,253
178,253
179,253
180,253
181,253
184,253
